sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
00_000096,3.329109113821597,5.947754312944716,1.2935451841349792,3.283781113021089,3.090251320798934,2.4517048819878764,-0.3561806762950095,-8.8888817217659,2.02775647493709,-4.4388817217659,-1.4922435250629098
00_000097,1.0951773847811417,5.0035934822096255,4.919519980357009,2.693214691278837,4.9045890020469525,3.4219554242563306,-1.753321192894533,-4.386850903887325,6.5656789000001,0.06314909611267527,3.0456789000001003
00_000098,1.7812419112076416,3.287113622815323,3.9967304419851057,1.3820067734984338,3.839916405600761,2.845910611429263,-2.7544138233687283,-0.622579378746995,6.5656789000001,3.827420621253005,3.0456789000001003
00_000099,3.682581640105922,4.33154586492962,3.1078207721163493,2.977456776685453,4.548535559920614,3.496278292199163,-2.916077130709983,-23.328785828957876,6.06592508667191,-18.878785828957877,2.5459250866719096
00_000100,0.32938787557870153,5.969476519273574,4.905065629691686,1.2822332683829873,5.410796276790242,1.8102720646679265,-2.6717837894084195,-0.094225102588031,6.5656789000001,4.355774897411969,3.0456789000001003
00_000101,2.416177271996756,4.345759707653644,2.4821976689937215,3.1306916113640337,5.215239321656265,2.1939356694484045,-2.0795115502569788,-0.58930271535942,9.43251489707819,3.86069728464058,5.912514897078191
00_000102,3.164758632853229,3.3939833417462695,1.703113795987893,3.632745183749268,5.75655682796881,1.5538986889042326,-3.2901443228891942,-43241.22481445675,2.37993230867786,-43236.77481445675,-1.1400676913221401
00_000103,3.564024220796689,4.76246654749947,4.19752127406251,1.9179600303161717,3.261961903137272,4.947164774905386,-4.475761437419677,-42.7058377015165,5.80645941816869,-38.2558377015165,2.28645941816869
00_000104,3.579818390284006,4.496064382414012,3.108750458443919,3.3048495750965627,5.097945180380111,2.1105705293822705,-3.910259540696079,-0.458132454986285,6.5656789000001,3.991867545013715,3.0456789000001003
00_000105,1.6509121469263945,2.3967719734974837,4.286859901296756,2.69697907036008,3.66228196819033,1.1279531916884178,-3.5646592078585355,-0.0436200310827765,6.5656789000001,4.406379968917224,3.0456789000001003
00_000106,3.5547741069500365,5.970972452084668,3.6380763280087973,1.436035515179466,6.855288628929572,2.1343025731865377,-2.692766463322873,-0.3709506218792875,6.5656789000001,4.079049378120713,3.0456789000001003
00_000107,3.5401669156753734,2.700090866080555,4.532858215551986,1.9465048116748451,3.115625893241392,3.8311736140296966,-0.4989721705725323,-0.41150757467834,6.5656789000001,4.03849242532166,3.0456789000001003
00_000108,3.7652634155512987,4.511128833841601,4.154958473693432,3.7177184857572705,3.9642423202292667,2.839682403324756,-4.042265415477999,-1.5943464554431226,6.5656789000001,2.8556535445568776,3.0456789000001003
00_000109,0.7691688190362473,2.582013325763422,1.6315999230572458,2.399357439702511,5.370765244080249,1.0304920454549262,-0.6458053168980582,-0.003821800298416575,6.56671416039608,4.446178199701584,3.0467141603960797
00_000110,2.835235613644105,2.2844274806531906,4.262089663841454,1.4295548969550838,5.044924188280114,2.3811801820137615,-2.4745266228450773,-0.37195201086103,6.5656789000001,4.0780479891389705,3.0456789000001003
00_000111,1.1541155717624778,3.3938320483124853,4.4670031502268115,3.9113236469333215,4.527936768702557,1.7159077236977645,-0.7312727658241558,-0.032776383081542,6.5656789000001,4.417223616918458,3.0456789000001003
00_000112,3.9455958243562796,2.762027257044806,1.2951482003144057,3.1658779115797566,6.8780300430531405,1.3708820113163314,-1.5369445828043156,-0.0229198817157472,6.566714163169,4.427080118284253,3.0467141631690002
00_000113,3.3361064482878544,3.0368059905744293,4.183416407923142,2.2949143850279237,5.015809617726504,4.468314155571172,-2.4290095668384444,-85.76772785918,6.5656789000001,-81.31772785918,3.0456789000001003
00_000114,2.21011970349848,6.840910242804831,2.648357030032104,3.952009605059142,5.059098431145795,4.124309691661067,-3.687648162083698,-4933.185667544275,2.60761997682043,-4928.735667544275,-0.91238002317957
00_000115,2.7714283325008875,2.847890343307522,3.2939053928327207,2.3586082359029783,2.983875322964125,1.6455822075630597,-4.675076648452158,-0.14226769654566676,6.5656789000001,4.307732303454333,3.0456789000001003
00_000116,2.256540797308317,4.1757397996689285,3.309120524565155,2.100573524946331,4.076143875362151,1.448079610610987,-2.4575941754140533,-0.045704819469069,6.5656789000001,4.404295180530931,3.0456789000001003
00_000117,0.9557279633524368,6.823760863594661,3.4331601563060787,3.99287372461522,3.4759809663264756,1.217500772975133,-3.062266731898247,-0.073376928764102,5.94215652804228,4.376623071235898,2.42215652804228
00_000118,0.9617814680873121,3.9745235241439856,3.2048066902702166,3.6100682248443965,4.947177581782107,3.0148771680561963,-1.173775240436823,-1.292103998015595,6.56671413234594,3.157896001984405,3.0467141323459397
00_000119,0.3639457411360997,3.215140239431045,3.685575402173661,1.5111417532580083,5.938251648815234,3.175117277688972,-0.37569775806773364,-0.887420918791225,6.5656789000001,3.562579081208775,3.0456789000001003
00_000120,2.8444308829096956,5.591735814121774,2.955515678140932,3.9885933349636487,2.9650170952544053,4.416356020800425,-3.394789817719473,-227.59635451784126,3.77205114770172,-223.14635451784127,0.25205114770172
00_000121,0.4036992235346885,4.060794041575956,4.37361700327533,1.2990939499467569,5.470359025382188,3.0990172979458297,-3.321119401407021,-4.03667436723675,6.5656789000001,0.4133256327632502,3.0456789000001003
00_000122,3.0804694542657027,6.435233815108506,4.052540519872808,1.9124331886739518,3.4083144634440696,3.1342973647231083,-3.0466903192706827,-1.0310189858176175,6.5656789000001,3.418981014182383,3.0456789000001003
00_000123,3.8947254714952515,5.1869880373106785,2.2666579420417814,1.7134922475002683,2.4637199536045062,1.5230930830682117,-0.7981732260447254,-0.26416893685876,4.69488927432209,4.18583106314124,1.1748892743220902
00_000124,3.687467199104693,2.520375387952479,4.176304188142913,1.6265020929024823,6.831524420286276,1.9815757050590084,-0.3367906047050786,-0.0290870934212465,6.5656789000001,4.420912906578754,3.0456789000001003
00_000125,1.4812853381056512,2.84653889810331,4.312956812469325,1.5289060516314923,4.292400627655672,2.293560391412178,-1.3022838118339592,-0.12446038769251025,6.5656789000001,4.32553961230749,3.0456789000001003
00_000126,3.407753134076477,3.139661886928219,4.985494743637025,1.7407039498720702,6.674617369456185,1.429976987677812,-1.7541646272263596,-0.023878882262491526,6.5656789000001,4.426121117737509,3.0456789000001003
00_000127,2.1044562979688424,2.2268826387106166,2.455918232290616,1.1634018618561184,5.475167554099766,1.2814491910595152,-4.775453260778432,-0.03806033045008175,6.5656789000001,4.411939669549918,3.0456789000001003
